City,Country,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
(not set),United Kingdom,3,100.00%,3,100.00%,1.00,00:00:00,0.00%,0,$0.00
(not set),Indonesia,3,100.00%,3,33.33%,4.00,00:00:41,0.00%,0,$0.00
(not set),Tunisia,3,100.00%,3,66.67%,0.67,00:00:00,0.00%,0,$0.00
Canberra,Australia,3,100.00%,3,100.00%,1.00,00:00:00,0.00%,0,$0.00
Perth,Australia,3,100.00%,3,33.33%,1.00,<00:00:01,0.00%,0,$0.00
Antwerp,Belgium,3,100.00%,3,33.33%,11.00,00:02:06,0.00%,0,$0.00
Kalmthout,Belgium,3,100.00%,3,100.00%,1.00,00:00:00,0.00%,0,$0.00
Brasilia,Brazil,3,100.00%,3,33.33%,6.67,00:01:55,0.00%,0,$0.00
Recife,Brazil,3,100.00%,3,66.67%,1.67,00:00:13,0.00%,0,$0.00
Curitiba,Brazil,3,100.00%,3,66.67%,1.33,00:00:00,0.00%,0,$0.00
Franca,Brazil,3,100.00%,3,33.33%,1.67,00:00:00,0.00%,0,$0.00
Vancouver,Canada,3,100.00%,3,0.00%,1.33,00:00:00,0.00%,0,$0.00
Victoria,Canada,3,100.00%,3,66.67%,1.33,00:00:00,0.00%,0,$0.00
London,Canada,3,100.00%,3,66.67%,1.33,00:00:00,0.00%,0,$0.00
Saskatoon,Canada,3,100.00%,3,33.33%,2.33,00:00:06,0.00%,0,$0.00
Zurich,Switzerland,3,100.00%,3,100.00%,1.00,00:00:00,0.00%,0,$0.00
Santiago,Chile,3,100.00%,3,100.00%,1.00,00:00:00,0.00%,0,$0.00
Ningbo,China,3,100.00%,3,100.00%,1.00,00:00:00,0.00%,0,$0.00
Shaoxing,China,3,100.00%,3,100.00%,1.00,00:00:00,0.00%,0,$0.00
Hefei,China,3,100.00%,3,100.00%,1.00,00:00:00,0.00%,0,$0.00
Quanzhou,China,3,100.00%,3,100.00%,1.00,00:00:00,0.00%,0,$0.00
Jinan,China,3,100.00%,3,100.00%,1.00,00:00:00,0.00%,0,$0.00
Wuhan,China,3,100.00%,3,66.67%,27.00,00:00:51,0.00%,0,$0.00
Foshan,China,3,100.00%,3,66.67%,1.33,00:00:28,0.00%,0,$0.00
Prague,Czech Republic,3,100.00%,3,66.67%,1.33,00:00:00,0.00%,0,$0.00
Nuremberg,Germany,3,100.00%,3,100.00%,1.00,00:00:00,0.00%,0,$0.00
Frankfurt,Germany,3,100.00%,3,33.33%,1.67,00:00:13,0.00%,0,$0.00
Sankt Augustin,Germany,3,100.00%,3,100.00%,1.00,00:00:00,0.00%,0,$0.00
Copenhagen,Denmark,3,100.00%,3,100.00%,1.00,00:00:00,0.00%,0,$0.00
Algiers,Algeria,3,100.00%,3,0.00%,3.00,00:01:41,0.00%,0,$0.00
Alexandria,Egypt,3,100.00%,3,66.67%,0.67,00:00:00,0.00%,0,$0.00
Tampere,Finland,3,100.00%,3,100.00%,1.00,00:00:00,0.00%,0,$0.00
Rennes,France,3,100.00%,3,66.67%,1.33,00:00:00,0.00%,0,$0.00
Edinburgh,United Kingdom,3,100.00%,3,33.33%,3.00,00:01:08,0.00%,0,$0.00
Denpasar,Indonesia,3,100.00%,3,100.00%,1.00,00:00:00,0.00%,0,$0.00
Hyderabad,India,3,100.00%,3,100.00%,1.00,00:00:00,0.00%,0,$0.00
Brescia,Italy,3,100.00%,3,66.67%,0.67,00:00:00,0.00%,0,$0.00
Hiroshima,Japan,3,100.00%,3,100.00%,1.00,00:00:00,0.00%,0,$0.00
Ansan-si,South Korea,3,100.00%,3,100.00%,1.00,00:00:00,0.00%,0,$0.00
Guadalajara,Mexico,3,100.00%,3,66.67%,1.33,00:02:13,0.00%,0,$0.00
Kuala Lumpur,Malaysia,3,100.00%,3,100.00%,1.00,00:00:00,0.00%,0,$0.00
Dronten,Netherlands,3,100.00%,3,0.00%,2.00,00:00:00,0.00%,0,$0.00
Rotterdam,Netherlands,3,100.00%,3,100.00%,1.00,00:00:00,0.00%,0,$0.00
Krakow,Poland,3,100.00%,3,66.67%,1.33,00:00:00,0.00%,0,$0.00
Oeiras,Portugal,3,66.67%,2,33.33%,2.67,00:01:02,0.00%,0,$0.00
Sochi,Russia,3,0.00%,0,100.00%,1.00,00:00:00,0.00%,0,$0.00
Ankara,Turkey,3,100.00%,3,66.67%,4.67,00:00:00,0.00%,0,$0.00
Scottsdale,United States,3,100.00%,3,66.67%,1.33,00:02:47,0.00%,0,$0.00
Oakland,United States,3,100.00%,3,0.00%,2.00,00:00:02,0.00%,0,$0.00
Wilmington,United States,3,100.00%,3,66.67%,2.67,00:00:41,0.00%,0,$0.00
Miami,United States,3,100.00%,3,66.67%,2.00,00:00:38,0.00%,0,$0.00
Louisville,United States,3,100.00%,3,100.00%,1.00,00:00:00,0.00%,0,$0.00
Raleigh,United States,3,100.00%,3,100.00%,1.00,00:00:00,0.00%,0,$0.00
Cleveland,United States,3,100.00%,3,100.00%,1.00,00:00:00,0.00%,0,$0.00
Columbus,United States,3,100.00%,3,66.67%,1.33,00:00:00,0.00%,0,$0.00
Memphis,United States,3,100.00%,3,100.00%,1.00,00:00:00,0.00%,0,$0.00
Arlington,United States,3,0.00%,0,0.00%,2.00,00:00:27,0.00%,0,$0.00
El Paso,United States,3,100.00%,3,66.67%,1.33,00:00:00,0.00%,0,$0.00
Frisco,United States,3,100.00%,3,100.00%,1.00,00:00:00,0.00%,0,$0.00
Lubbock,United States,3,100.00%,3,100.00%,1.00,00:00:00,0.00%,0,$0.00
Fort Belvoir,United States,3,100.00%,3,100.00%,1.00,00:00:00,0.00%,0,$0.00
Seattle,United States,3,100.00%,3,33.33%,1.67,00:00:00,0.00%,0,$0.00
Jingzhou,China,3,100.00%,3,100.00%,1.00,00:00:00,0.00%,0,$0.00
